#Frame      Mode1    Mode2    Mode3
     514    0.728   -0.519    0.137
     515   -1.320   -1.586   -0.864
     516   -0.808   -1.178   -0.622
     517   -1.548   -1.911   -1.007
     518   -0.731   -0.220   -0.478
     519    1.305   -2.274   -0.359
     520    0.072   -1.708   -0.659
     521    1.495   -1.465   -1.780
     522   -2.166   -0.996   -0.459
     523   -0.924    0.947   -2.241
     524    0.872   -2.283   -1.067
     525   -0.559   -1.155    0.393
     526   -1.112   -2.955    1.595
     527   -2.904   -3.849   -0.240
     528   -0.427   -1.485   -0.726
     529    1.550   -1.574   -0.443
     530   -0.429   -3.822    0.361
     531    1.947   -1.939   -0.835
     532    2.856   -2.737    0.076
     533    0.254   -0.862    1.643
     534    0.359   -1.437   -0.675
     535    1.854    0.329   -1.466
     536   -1.123    0.777    0.528
     537   -0.733   -1.509    0.230
     538    1.593   -1.658   -1.374
     539    0.474   -0.325   -0.651
     540   -1.096   -0.255   -0.676
     541    0.151    0.732    0.090
     542    0.208    1.412   -1.630
     543    3.047    1.415   -0.316
     544    2.915    1.464    0.491
     545    1.127    1.061    1.605
     546    1.023    0.148   -0.739
     547   -0.058    0.361    0.297
     548    2.263    0.685    1.332
     549    2.741    1.315    0.716
     550    0.613   -1.286    1.257
     551    0.184   -1.568    0.181
     552    0.431   -0.835   -0.737
     553    0.611   -1.013   -1.223
     554   -1.063   -2.601   -1.749
     555   -1.050   -0.615   -1.231
     556   -1.222    0.572   -0.862
     557   -0.143   -0.625   -0.531
     558   -0.869   -1.837    0.512
     559   -0.821   -0.187   -0.847
     560   -1.081   -1.439    0.347
     561    0.198   -1.196   -1.217
     562   -0.259    0.352   -1.464
     563   -2.826   -1.127    0.374
     564   -0.059   -0.890    0.140
     565   -0.698   -1.868    0.760
     566   -2.691   -1.798    0.375
     567   -0.910    0.639    0.038
     568   -3.603    0.557    0.091
     569    0.833   -0.226    0.053
     570   -0.819    0.292   -0.222
     571   -0.011   -0.069   -0.203
     572   -1.144   -2.318   -0.052
     573   -2.199   -0.009    1.386
     574   -1.062   -0.125   -2.916
     575    0.391   -0.691   -1.773
     576   -0.346   -0.902   -0.394
     577    0.227    1.200   -0.378
     578    1.209    0.668   -0.543
     579    0.134    0.850    0.503
     580    1.392    0.626   -0.409
     581   -0.054   -1.496    0.259
     582   -0.508    0.924    2.184
     583    1.220   -0.355   -0.789
     584   -1.192   -1.754    0.738
     585   -0.963    0.678   -2.195
     586    0.387    0.996   -0.007
     587   -0.556   -0.302    0.862
     588   -2.295    0.201   -0.711
     589   -1.677    0.426   -0.627
     590   -0.410   -0.578   -0.039
     591   -3.607    0.408   -1.154
     592   -0.058   -2.152   -1.715
     593    0.684   -1.655   -1.090
     594   -0.400   -1.130   -0.551
     595   -0.397    0.798   -0.248
     596   -1.289    0.283   -2.082
     597   -0.335    0.033    0.309
     598   -0.647    0.393    0.093
     599   -0.556    0.322   -2.282
     600   -0.325   -0.146   -0.738
     601   -0.328   -0.065   -0.593
     602   -0.425    1.223   -1.789
     603   -1.850   -0.294   -0.099
     604   -1.050    0.561   -0.229
     605   -0.454   -0.360   -0.503
     606    1.011   -1.490    0.575
     607    0.623    0.176    0.266
     608   -0.556    0.624    0.307
     609   -0.344    1.141    1.076
     610    0.401   -0.741   -0.020
     611   -1.239   -1.210   -0.212
     612    0.840    1.126   -2.125
     613   -1.281   -1.359    0.222
     614   -0.028    0.114    0.488
     615    0.393   -1.596    0.275
     616    0.741   -0.786   -0.062
     617   -0.663   -1.025   -0.119
     618   -0.044    0.206   -1.039
     619   -1.202    0.441   -1.324
     620   -1.182   -0.529   -0.015
     621    0.309   -0.818    1.465
     622    1.643   -1.881   -2.239
     623   -0.514   -0.735    0.779
     624    0.090   -0.390    0.811
     625   -0.076   -0.649    1.377
     626   -0.463   -0.949    1.085
     627    1.098   -0.349   -1.283
     628   -0.694    0.666    0.354
     629    0.967   -0.547   -1.504
     630    0.801    1.193   -1.213
     631    0.803    0.851   -1.915
     632    0.739    0.177    1.535
     633    0.713   -0.598    1.920
     634   -1.632    0.083   -2.353
     635   -0.469   -0.312   -0.302
     636   -1.227    0.107   -2.414
     637   -1.801   -1.283   -1.708
     638   -1.647   -2.356   -1.703
     639   -0.050   -0.544   -1.426
     640   -2.518    0.037   -0.205
     641   -1.011   -0.435   -0.790
     642   -0.789    1.570   -1.136
     643    0.942   -1.017   -1.639
     644   -0.144    0.434   -0.900
     645   -1.090    0.358   -2.233
     646   -1.577    0.077   -1.529
     647   -1.292    0.374   -2.914
     648    0.650   -0.571   -1.165
     649   -0.433   -0.806   -2.502
     650   -1.356    1.195   -1.665
     651   -0.957    0.687   -2.337
     652   -1.811   -0.988   -1.119
     653   -0.671   -0.529   -0.567
     654   -3.098    0.693   -0.305
     655   -1.331   -0.845   -0.986
     656   -3.813   -1.600    0.248
     657   -2.978   -1.433    0.886
     658   -2.333   -0.805    1.078
     659   -0.086    2.006   -0.120
     660    0.364   -1.486   -0.327
     661   -1.340   -1.653   -0.230
     662   -0.260    0.176   -3.163
     663   -0.011   -0.593   -2.164
     664   -1.818   -0.702   -0.944
     665   -2.190   -0.831   -0.675
     666   -1.049   -0.803   -0.633
     667   -3.079   -1.506   -0.386
     668   -0.612   -1.077   -1.517
     669   -1.953   -2.195   -1.202
     670   -0.974   -0.779   -1.732
     671    0.024   -1.102   -0.609
     672   -0.265   -1.448   -1.044
     673   -1.468   -3.230   -0.940
     674   -2.601   -1.905   -0.494
     675   -2.522   -1.678    1.401
     676   -0.630   -1.916   -1.462
     677   -2.125    1.129   -0.925
     678   -1.090   -1.176   -0.444
     679   -0.464   -2.096   -0.331
     680   -1.759   -2.125   -0.011
     681   -1.639   -1.522    0.177
     682   -1.332    0.394    0.064
     683   -2.068    0.426    0.724
     684   -1.037    0.329    0.483
     685   -1.747   -0.115   -0.651
     686   -0.685    0.377   -0.774
     687   -0.103   -1.374    0.027
     688    0.090   -1.232   -1.235
     689    0.412   -1.685    0.505
     690   -0.700   -1.097    0.441
     691    2.656   -2.009   -1.345
     692   -1.545   -0.122    0.591
     693   -0.340   -0.876   -1.414
     694    0.941   -1.241    0.459
     695    1.008   -0.184    0.609
     696    0.927   -1.698   -0.226
     697    0.536   -0.978   -0.991
     698    1.449   -0.794   -0.618
     699   -0.721   -1.229   -2.154
     700    0.322    0.396   -0.418
     701   -0.749   -0.992   -1.181
     702   -0.111    1.940   -1.188
     703   -0.496   -0.558   -0.714
     704   -2.741   -0.028   -0.753
     705   -5.837   -1.376    0.441
     706   -3.424    0.427   -1.348
     707   -2.732   -0.176   -0.178
     708   -2.854   -2.216   -0.157
     709   -0.647    0.531   -1.966
     710   -1.716   -2.199   -0.637
     711   -2.061   -0.468   -2.207
     712   -4.725   -0.067    0.172
     713   -4.525    0.890   -0.375
     714   -3.140   -0.290   -0.014
     715   -2.892   -0.878   -1.431
     716   -3.110   -2.344   -1.209
     717   -0.565   -4.332   -1.628
     718   -1.397    0.258   -2.383
     719   -1.087   -0.387   -0.337
     720   -0.283   -0.631   -2.202
     721    0.346    0.408   -3.122
     722   -1.505   -0.620   -1.439
     723   -3.385    0.864   -0.953
     724   -3.261   -0.170   -0.610
     725   -2.584    0.452   -0.479
     726   -0.959   -1.185   -2.061
     727   -2.345    1.577   -1.017
     728   -3.601   -1.315   -0.155
     729   -2.402   -1.003   -1.410
     730   -3.363   -1.164   -0.503
     731   -2.840    0.357   -2.193
     732    0.845   -1.900   -2.149
     733   -1.572   -2.131   -0.539
     734   -1.208   -0.125   -2.166
     735   -0.764   -1.664   -1.282
     736   -2.854   -0.724    0.843
     737   -1.724   -0.573   -1.379
